datetime,origin,destination,price
2025-05-13T06:00:00,Seattle,London,753
2025-05-13T18:00:00,Seattle,London,853
2025-05-14T06:00:00,Seattle,London,1041
2025-05-14T18:00:00,Seattle,London,846
2025-05-15T06:00:00,Seattle,London,965
2025-05-15T18:00:00,Seattle,London,901
2025-05-16T06:00:00,Seattle,London,841
2025-05-16T18:00:00,Seattle,London,1049
2025-05-17T06:00:00,Seattle,London,968
2025-05-17T18:00:00,Seattle,London,1136
2025-05-18T06:00:00,Seattle,London,870
2025-05-18T18:00:00,Seattle,London,769
2025-05-19T06:00:00,Seattle,London,737
2025-05-19T18:00:00,Seattle,London,690
2025-05-20T06:00:00,Seattle,London,1055
2025-05-20T18:00:00,Seattle,London,680
2025-05-21T06:00:00,Seattle,London,797
2025-05-21T18:00:00,Seattle,London,1133
2025-05-22T06:00:00,Seattle,London,1036
2025-05-22T18:00:00,Seattle,London,676
2025-05-23T06:00:00,Seattle,London,877
2025-05-23T18:00:00,Seattle,London,1120
2025-05-24T06:00:00,Seattle,London,702
2025-05-24T18:00:00,Seattle,London,1122
2025-05-25T06:00:00,Seattle,London,818
2025-05-25T18:00:00,Seattle,London,606
2025-05-26T06:00:00,Seattle,London,923
2025-05-26T18:00:00,Seattle,London,615
2025-05-27T06:00:00,Seattle,London,951
2025-05-27T18:00:00,Seattle,London,874
2025-05-28T06:00:00,Seattle,London,1137
2025-05-28T18:00:00,Seattle,London,817
2025-05-29T06:00:00,Seattle,London,1151
2025-05-29T18:00:00,Seattle,London,969
2025-05-30T06:00:00,Seattle,London,899
2025-05-30T18:00:00,Seattle,London,704
2025-05-31T06:00:00,Seattle,London,1015
2025-05-31T18:00:00,Seattle,London,1269
2025-06-01T06:00:00,Seattle,London,1206
2025-06-01T18:00:00,Seattle,London,1134
2025-06-02T06:00:00,Seattle,London,1014
2025-06-02T18:00:00,Seattle,London,829
2025-06-03T06:00:00,Seattle,London,780
2025-06-03T18:00:00,Seattle,London,833
2025-06-04T06:00:00,Seattle,London,712
2025-06-04T18:00:00,Seattle,London,659
2025-06-05T06:00:00,Seattle,London,788
2025-06-05T18:00:00,Seattle,London,1141
2025-06-06T06:00:00,Seattle,London,1068
2025-06-06T18:00:00,Seattle,London,1187
2025-06-07T06:00:00,Seattle,London,1010
2025-06-07T18:00:00,Seattle,London,1163
2025-06-08T06:00:00,Seattle,London,1119
2025-06-08T18:00:00,Seattle,London,1029
2025-06-09T06:00:00,Seattle,London,1124
2025-06-09T18:00:00,Seattle,London,803
2025-06-10T06:00:00,Seattle,London,821
2025-06-10T18:00:00,Seattle,London,943
2025-06-11T06:00:00,Seattle,London,575
2025-06-11T18:00:00,Seattle,London,823
2025-06-12T06:00:00,Seattle,London,957
2025-06-12T18:00:00,Seattle,London,956
2025-06-13T06:00:00,Seattle,London,1171
2025-06-13T18:00:00,Seattle,London,819
2025-06-14T06:00:00,Seattle,London,1129
2025-06-14T18:00:00,Seattle,London,831
2025-06-15T06:00:00,Seattle,London,800
2025-06-15T18:00:00,Seattle,London,984
2025-06-16T06:00:00,Seattle,London,721
2025-06-16T18:00:00,Seattle,London,1197
2025-06-17T06:00:00,Seattle,London,974
2025-06-17T18:00:00,Seattle,London,675
2025-06-18T06:00:00,Seattle,London,891
2025-06-18T18:00:00,Seattle,London,1185
2025-06-19T06:00:00,Seattle,London,769
2025-06-19T18:00:00,Seattle,London,1180
2025-06-20T06:00:00,Seattle,London,1075
2025-06-20T18:00:00,Seattle,London,971
2025-06-21T06:00:00,Seattle,London,949
2025-06-21T18:00:00,Seattle,London,1123
2025-06-22T06:00:00,Seattle,London,1107
2025-06-22T18:00:00,Seattle,London,1004
2025-06-23T06:00:00,Seattle,London,882
2025-06-23T18:00:00,Seattle,London,1151
2025-06-24T06:00:00,Seattle,London,723
2025-06-24T18:00:00,Seattle,London,630
2025-06-25T06:00:00,Seattle,London,975
2025-06-25T18:00:00,Seattle,London,641
2025-06-26T06:00:00,Seattle,London,1023
2025-06-26T18:00:00,Seattle,London,990
2025-06-27T06:00:00,Seattle,London,825
2025-06-27T18:00:00,Seattle,London,1073
2025-06-28T06:00:00,Seattle,London,685
2025-06-28T18:00:00,Seattle,London,954
2025-06-29T06:00:00,Seattle,London,930
2025-06-29T18:00:00,Seattle,London,933
2025-04-01T06:00:00,Seattle,Paris,1122
2025-04-01T18:00:00,Seattle,Paris,632
2025-04-02T06:00:00,Seattle,Paris,847
2025-04-02T18:00:00,Seattle,Paris,836
2025-04-03T06:00:00,Seattle,Paris,815
2025-04-03T18:00:00,Seattle,Paris,738
2025-04-04T06:00:00,Seattle,Paris,1198
2025-04-04T18:00:00,Seattle,Paris,732
2025-04-05T06:00:00,Seattle,Paris,1183
2025-04-05T18:00:00,Seattle,Paris,748
2025-04-06T06:00:00,Seattle,Paris,1087
2025-04-06T18:00:00,Seattle,Paris,613
2025-04-07T06:00:00,Seattle,Paris,600
2025-04-07T18:00:00,Seattle,Paris,974
2025-04-08T06:00:00,Seattle,Paris,975
2025-04-08T18:00:00,Seattle,Paris,914
2025-04-09T06:00:00,Seattle,Paris,1127
2025-04-09T18:00:00,Seattle,Paris,690
2025-04-10T06:00:00,Seattle,Paris,698
2025-04-10T18:00:00,Seattle,Paris,1049
2025-04-11T06:00:00,Seattle,Paris,804
2025-04-11T18:00:00,Seattle,Paris,1010
2025-04-12T06:00:00,Seattle,Paris,570
2025-04-12T18:00:00,Seattle,Paris,1036
2025-04-13T06:00:00,Seattle,Paris,1125
2025-04-13T18:00:00,Seattle,Paris,943
2025-04-14T06:00:00,Seattle,Paris,605
2025-04-14T18:00:00,Seattle,Paris,899
2025-04-15T06:00:00,Seattle,Paris,1152
2025-04-15T18:00:00,Seattle,Paris,866
2025-04-16T06:00:00,Seattle,Paris,1178
2025-04-16T18:00:00,Seattle,Paris,1142
2025-04-17T06:00:00,Seattle,Paris,986
2025-04-17T18:00:00,Seattle,Paris,853
2025-04-18T06:00:00,Seattle,Paris,919
2025-04-18T18:00:00,Seattle,Paris,1120
2025-04-19T06:00:00,Seattle,Paris,823
2025-04-19T18:00:00,Seattle,Paris,702
2025-04-20T06:00:00,Seattle,Paris,1096
2025-04-20T18:00:00,Seattle,Paris,1150
2025-04-21T06:00:00,Seattle,Paris,1008
2025-04-21T18:00:00,Seattle,Paris,807
2025-04-22T06:00:00,Seattle,Paris,637
2025-04-22T18:00:00,Seattle,Paris,790
2025-04-23T06:00:00,Seattle,Paris,671
2025-04-23T18:00:00,Seattle,Paris,735
2025-04-24T06:00:00,Seattle,Paris,707
2025-04-24T18:00:00,Seattle,Paris,627
2025-04-25T06:00:00,Seattle,Paris,565
2025-04-25T18:00:00,Seattle,Paris,988
2025-04-26T06:00:00,Seattle,Paris,939
2025-04-26T18:00:00,Seattle,Paris,822
2025-04-27T06:00:00,Seattle,Paris,1193
2025-04-27T18:00:00,Seattle,Paris,627
2025-04-28T06:00:00,Seattle,Paris,629
2025-04-28T18:00:00,Seattle,Paris,1127
2025-04-29T06:00:00,Seattle,Paris,1167
2025-04-29T18:00:00,Seattle,Paris,917
2025-04-30T06:00:00,Seattle,Paris,830
2025-04-30T18:00:00,Seattle,Paris,996
2025-05-01T06:00:00,Seattle,Paris,697
2025-05-01T18:00:00,Seattle,Paris,778
2025-05-02T06:00:00,Seattle,Paris,731
2025-05-02T18:00:00,Seattle,Paris,1083
2025-05-03T06:00:00,Seattle,Paris,1100
2025-05-03T18:00:00,Seattle,Paris,1134
2025-05-04T06:00:00,Seattle,Paris,1057
2025-05-04T18:00:00,Seattle,Paris,1040
2025-05-05T06:00:00,Seattle,Paris,1006
2025-05-05T18:00:00,Seattle,Paris,941
2025-05-06T06:00:00,Seattle,Paris,798
2025-05-06T18:00:00,Seattle,Paris,776
2025-05-07T06:00:00,Seattle,Paris,929
2025-05-07T18:00:00,Seattle,Paris,1086
2025-05-08T06:00:00,Seattle,Paris,768
2025-05-08T18:00:00,Seattle,Paris,873
2025-05-09T06:00:00,Seattle,Paris,819
2025-05-09T18:00:00,Seattle,Paris,1039
2025-05-10T06:00:00,Seattle,Paris,667
2025-05-10T18:00:00,Seattle,Paris,827
2025-05-11T06:00:00,Seattle,Paris,1010
2025-05-11T18:00:00,Seattle,Paris,769
2025-05-12T06:00:00,Seattle,Paris,579
2025-05-12T18:00:00,Seattle,Paris,687
2025-05-13T06:00:00,Seattle,Paris,816
2025-05-13T18:00:00,Seattle,Paris,1090
2025-05-14T06:00:00,Seattle,Paris,904
2025-05-14T18:00:00,Seattle,Paris,1172
2025-05-15T06:00:00,Seattle,Paris,1170
2025-05-15T18:00:00,Seattle,Paris,694
2025-05-16T06:00:00,Seattle,Paris,1030
2025-05-16T18:00:00,Seattle,Paris,666
2025-05-17T06:00:00,Seattle,Paris,913
2025-05-17T18:00:00,Seattle,Paris,782
2025-05-18T06:00:00,Seattle,Paris,733
2025-05-18T18:00:00,Seattle,Paris,655
2025-05-19T06:00:00,Seattle,Paris,938
2025-05-19T18:00:00,Seattle,Paris,1170
2025-05-20T06:00:00,Seattle,Paris,769
2025-05-20T18:00:00,Seattle,Paris,799
2025-05-21T06:00:00,Seattle,Paris,590
2025-05-21T18:00:00,Seattle,Paris,876
2025-05-22T06:00:00,Seattle,Paris,805
2025-05-22T18:00:00,Seattle,Paris,926
2025-05-23T06:00:00,Seattle,Paris,831
2025-05-23T18:00:00,Seattle,Paris,963
2025-05-24T06:00:00,Seattle,Paris,617
2025-05-24T18:00:00,Seattle,Paris,714
2025-05-25T06:00:00,Seattle,Paris,787
2025-05-25T18:00:00,Seattle,Paris,665
2025-05-26T06:00:00,Seattle,Paris,1078
2025-05-26T18:00:00,Seattle,Paris,741
2025-05-27T06:00:00,Seattle,Paris,1031
2025-05-27T18:00:00,Seattle,Paris,740
2025-05-28T06:00:00,Seattle,Paris,868
2025-05-28T18:00:00,Seattle,Paris,840
2025-05-29T06:00:00,Seattle,Paris,943
2025-05-29T18:00:00,Seattle,Paris,1158
2025-05-30T06:00:00,Seattle,Paris,740
2025-05-30T18:00:00,Seattle,Paris,923
2025-05-31T06:00:00,Seattle,Paris,937
2025-05-31T18:00:00,Seattle,Paris,1185
2025-06-01T06:00:00,Seattle,Paris,677
2025-06-01T18:00:00,Seattle,Paris,831
2025-06-02T06:00:00,Seattle,Paris,815
2025-06-02T18:00:00,Seattle,Paris,998
2025-06-03T06:00:00,Seattle,Paris,1058
2025-06-03T18:00:00,Seattle,Paris,1114
2025-06-04T06:00:00,Seattle,Paris,851
2025-06-04T18:00:00,Seattle,Paris,821
2025-06-05T06:00:00,Seattle,Paris,1119
2025-06-05T18:00:00,Seattle,Paris,1213
2025-06-06T06:00:00,Seattle,Paris,870
2025-06-06T18:00:00,Seattle,Paris,1064
2025-06-07T06:00:00,Seattle,Paris,626
2025-06-07T18:00:00,Seattle,Paris,723
2025-06-08T06:00:00,Seattle,Paris,646
2025-06-08T18:00:00,Seattle,Paris,603
2025-06-09T06:00:00,Seattle,Paris,1056
2025-06-09T18:00:00,Seattle,Paris,1050
2025-06-10T06:00:00,Seattle,Paris,846
2025-06-10T18:00:00,Seattle,Paris,1051
2025-06-11T06:00:00,Seattle,Paris,586
2025-06-11T18:00:00,Seattle,Paris,834
2025-06-12T06:00:00,Seattle,Paris,1140
2025-06-12T18:00:00,Seattle,Paris,907
2025-06-13T06:00:00,Seattle,Paris,887
2025-06-13T18:00:00,Seattle,Paris,667
2025-06-14T06:00:00,Seattle,Paris,972
2025-06-14T18:00:00,Seattle,Paris,977
2025-06-15T06:00:00,Seattle,Paris,1067
2025-06-15T18:00:00,Seattle,Paris,1148
2025-06-16T06:00:00,Seattle,Paris,950
2025-06-16T18:00:00,Seattle,Paris,761
2025-06-17T06:00:00,Seattle,Paris,816
2025-06-17T18:00:00,Seattle,Paris,698
2025-06-18T06:00:00,Seattle,Paris,1188
2025-06-18T18:00:00,Seattle,Paris,673
2025-06-19T06:00:00,Seattle,Paris,936
2025-06-19T18:00:00,Seattle,Paris,945
2025-06-20T06:00:00,Seattle,Paris,923
2025-06-20T18:00:00,Seattle,Paris,733
2025-06-21T06:00:00,Seattle,Paris,647
2025-06-21T18:00:00,Seattle,Paris,998
2025-06-22T06:00:00,Seattle,Paris,606
2025-06-22T18:00:00,Seattle,Paris,615
2025-06-23T06:00:00,Seattle,Paris,862
2025-06-23T18:00:00,Seattle,Paris,1168
2025-06-24T06:00:00,Seattle,Paris,625
2025-06-24T18:00:00,Seattle,Paris,950
2025-06-25T06:00:00,Seattle,Paris,720
2025-06-25T18:00:00,Seattle,Paris,714
2025-06-26T06:00:00,Seattle,Paris,643
2025-06-26T18:00:00,Seattle,Paris,773
2025-06-27T06:00:00,Seattle,Paris,787
2025-06-27T18:00:00,Seattle,Paris,907
2025-06-28T06:00:00,Seattle,Paris,761
2025-06-28T18:00:00,Seattle,Paris,927
2025-06-29T06:00:00,Seattle,Paris,1236
2025-06-29T18:00:00,Seattle,Paris,743
2025-04-01T06:00:00,Seattle,Brussels,1129
2025-04-01T18:00:00,Seattle,Brussels,932
2025-04-02T06:00:00,Seattle,Brussels,764
2025-04-02T18:00:00,Seattle,Brussels,1190
2025-04-03T06:00:00,Seattle,Brussels,786
2025-04-03T18:00:00,Seattle,Brussels,677
2025-04-04T06:00:00,Seattle,Brussels,985
2025-04-04T18:00:00,Seattle,Brussels,916
2025-04-05T06:00:00,Seattle,Brussels,1158
2025-04-05T18:00:00,Seattle,Brussels,864
2025-04-06T06:00:00,Seattle,Brussels,850
2025-04-06T18:00:00,Seattle,Brussels,978
2025-04-07T06:00:00,Seattle,Brussels,688
2025-04-07T18:00:00,Seattle,Brussels,590
2025-04-08T06:00:00,Seattle,Brussels,873
2025-04-08T18:00:00,Seattle,Brussels,673
2025-04-09T06:00:00,Seattle,Brussels,689
2025-04-09T18:00:00,Seattle,Brussels,725
2025-04-10T06:00:00,Seattle,Brussels,602
2025-04-10T18:00:00,Seattle,Brussels,899
2025-04-11T06:00:00,Seattle,Brussels,824
2025-04-11T18:00:00,Seattle,Brussels,1168
2025-04-12T06:00:00,Seattle,Brussels,783
2025-04-12T18:00:00,Seattle,Brussels,585
2025-04-13T06:00:00,Seattle,Brussels,897
2025-04-13T18:00:00,Seattle,Brussels,914
2025-04-14T06:00:00,Seattle,Brussels,816
2025-04-14T18:00:00,Seattle,Brussels,957
2025-04-15T06:00:00,Seattle,Brussels,1119
2025-04-15T18:00:00,Seattle,Brussels,881
2025-04-16T06:00:00,Seattle,Brussels,713
2025-04-16T18:00:00,Seattle,Brussels,772
2025-04-17T06:00:00,Seattle,Brussels,844
2025-04-17T18:00:00,Seattle,Brussels,908
2025-04-18T06:00:00,Seattle,Brussels,795
2025-04-18T18:00:00,Seattle,Brussels,719
2025-04-19T06:00:00,Seattle,Brussels,857
2025-04-19T18:00:00,Seattle,Brussels,656
2025-04-20T06:00:00,Seattle,Brussels,742
2025-04-20T18:00:00,Seattle,Brussels,1116
2025-04-21T06:00:00,Seattle,Brussels,1063
2025-04-21T18:00:00,Seattle,Brussels,943
2025-04-22T06:00:00,Seattle,Brussels,679
2025-04-22T18:00:00,Seattle,Brussels,1138
2025-04-23T06:00:00,Seattle,Brussels,626
2025-04-23T18:00:00,Seattle,Brussels,1072
2025-04-24T06:00:00,Seattle,Brussels,1100
2025-04-24T18:00:00,Seattle,Brussels,755
2025-04-25T06:00:00,Seattle,Brussels,761
2025-04-25T18:00:00,Seattle,Brussels,737
2025-04-26T06:00:00,Seattle,Brussels,662
2025-04-26T18:00:00,Seattle,Brussels,723
2025-04-27T06:00:00,Seattle,Brussels,948
2025-04-27T18:00:00,Seattle,Brussels,1187
2025-04-28T06:00:00,Seattle,Brussels,1030
2025-04-28T18:00:00,Seattle,Brussels,1156
2025-04-29T06:00:00,Seattle,Brussels,881
2025-04-29T18:00:00,Seattle,Brussels,1157
2025-04-30T06:00:00,Seattle,Brussels,929
2025-04-30T18:00:00,Seattle,Brussels,746
2025-05-01T06:00:00,Seattle,Brussels,776
2025-05-01T18:00:00,Seattle,Brussels,997
2025-05-02T06:00:00,Seattle,Brussels,1040
2025-05-02T18:00:00,Seattle,Brussels,1097
2025-05-03T06:00:00,Seattle,Brussels,1065
2025-05-03T18:00:00,Seattle,Brussels,1095
2025-05-04T06:00:00,Seattle,Brussels,974
2025-05-04T18:00:00,Seattle,Brussels,873
2025-05-05T06:00:00,Seattle,Brussels,800
2025-05-05T18:00:00,Seattle,Brussels,983
2025-05-06T06:00:00,Seattle,Brussels,1119
2025-05-06T18:00:00,Seattle,Brussels,702
2025-05-07T06:00:00,Seattle,Brussels,940
2025-05-07T18:00:00,Seattle,Brussels,756
2025-05-08T06:00:00,Seattle,Brussels,786
2025-05-08T18:00:00,Seattle,Brussels,806
2025-05-09T06:00:00,Seattle,Brussels,1037
2025-05-09T18:00:00,Seattle,Brussels,1043
2025-05-10T06:00:00,Seattle,Brussels,1029
2025-05-10T18:00:00,Seattle,Brussels,771
2025-05-11T06:00:00,Seattle,Brussels,930
2025-05-11T18:00:00,Seattle,Brussels,907
2025-05-12T06:00:00,Seattle,Brussels,1169
2025-05-12T18:00:00,Seattle,Brussels,629
2025-05-13T06:00:00,Seattle,Brussels,784
2025-05-13T18:00:00,Seattle,Brussels,844
2025-05-14T06:00:00,Seattle,Brussels,1170
2025-05-14T18:00:00,Seattle,Brussels,868
2025-05-15T06:00:00,Seattle,Brussels,1030
2025-05-15T18:00:00,Seattle,Brussels,766
2025-05-16T06:00:00,Seattle,Brussels,1146
2025-05-16T18:00:00,Seattle,Brussels,1067
2025-05-17T06:00:00,Seattle,Brussels,745
2025-05-17T18:00:00,Seattle,Brussels,922
2025-05-18T06:00:00,Seattle,Brussels,1075
2025-05-18T18:00:00,Seattle,Brussels,840
2025-05-19T06:00:00,Seattle,Brussels,1223
2025-05-19T18:00:00,Seattle,Brussels,679
2025-05-20T06:00:00,Seattle,Brussels,685
2025-05-20T18:00:00,Seattle,Brussels,1089
2025-05-21T06:00:00,Seattle,Brussels,1017
2025-05-21T18:00:00,Seattle,Brussels,1004
2025-05-22T06:00:00,Seattle,Brussels,907
2025-05-22T18:00:00,Seattle,Brussels,565
2025-05-23T06:00:00,Seattle,Brussels,1124
2025-05-23T18:00:00,Seattle,Brussels,834
2025-05-24T06:00:00,Seattle,Brussels,734
2025-05-24T18:00:00,Seattle,Brussels,985
2025-05-25T06:00:00,Seattle,Brussels,1105
2025-05-25T18:00:00,Seattle,Brussels,740
2025-05-26T06:00:00,Seattle,Brussels,676
2025-05-26T18:00:00,Seattle,Brussels,945
2025-05-27T06:00:00,Seattle,Brussels,1132
2025-05-27T18:00:00,Seattle,Brussels,671
2025-05-28T06:00:00,Seattle,Brussels,903
2025-05-28T18:00:00,Seattle,Brussels,1047
2025-05-29T06:00:00,Seattle,Brussels,1098
2025-05-29T18:00:00,Seattle,Brussels,813
2025-05-30T06:00:00,Seattle,Brussels,1199
2025-05-30T18:00:00,Seattle,Brussels,930
2025-05-31T06:00:00,Seattle,Brussels,1095
2025-05-31T18:00:00,Seattle,Brussels,1135
2025-06-01T06:00:00,Seattle,Brussels,1064
2025-06-01T18:00:00,Seattle,Brussels,796
2025-06-02T06:00:00,Seattle,Brussels,975
2025-06-02T18:00:00,Seattle,Brussels,820
2025-06-03T06:00:00,Seattle,Brussels,869
2025-06-03T18:00:00,Seattle,Brussels,1215
2025-06-04T06:00:00,Seattle,Brussels,765
2025-06-04T18:00:00,Seattle,Brussels,724
2025-06-05T06:00:00,Seattle,Brussels,726
2025-06-05T18:00:00,Seattle,Brussels,758
2025-06-06T06:00:00,Seattle,Brussels,694
2025-06-06T18:00:00,Seattle,Brussels,1041
2025-06-07T06:00:00,Seattle,Brussels,768
2025-06-07T18:00:00,Seattle,Brussels,1152
2025-06-08T06:00:00,Seattle,Brussels,1011
2025-06-08T18:00:00,Seattle,Brussels,635
2025-06-09T06:00:00,Seattle,Brussels,806
2025-06-09T18:00:00,Seattle,Brussels,835
2025-06-10T06:00:00,Seattle,Brussels,841
2025-06-10T18:00:00,Seattle,Brussels,811
2025-06-11T06:00:00,Seattle,Brussels,873
2025-06-11T18:00:00,Seattle,Brussels,1099
2025-06-12T06:00:00,Seattle,Brussels,901
2025-06-12T18:00:00,Seattle,Brussels,907
2025-06-13T06:00:00,Seattle,Brussels,990
2025-06-13T18:00:00,Seattle,Brussels,1018
2025-06-14T06:00:00,Seattle,Brussels,762
2025-06-14T18:00:00,Seattle,Brussels,980
2025-06-15T06:00:00,Seattle,Brussels,1030
2025-06-15T18:00:00,Seattle,Brussels,656
2025-06-16T06:00:00,Seattle,Brussels,1178
2025-06-16T18:00:00,Seattle,Brussels,1237
2025-06-17T06:00:00,Seattle,Brussels,1261
2025-06-17T18:00:00,Seattle,Brussels,998
2025-06-18T06:00:00,Seattle,Brussels,646
2025-06-18T18:00:00,Seattle,Brussels,1222
2025-06-19T06:00:00,Seattle,Brussels,914
2025-06-19T18:00:00,Seattle,Brussels,805
2025-06-20T06:00:00,Seattle,Brussels,802
2025-06-20T18:00:00,Seattle,Brussels,1076
2025-06-21T06:00:00,Seattle,Brussels,1043
2025-06-21T18:00:00,Seattle,Brussels,933
2025-06-22T06:00:00,Seattle,Brussels,788
2025-06-22T18:00:00,Seattle,Brussels,1100
2025-06-23T06:00:00,Seattle,Brussels,985
2025-06-23T18:00:00,Seattle,Brussels,736
2025-06-24T06:00:00,Seattle,Brussels,1152
2025-06-24T18:00:00,Seattle,Brussels,531
2025-06-25T06:00:00,Seattle,Brussels,1083
2025-06-25T18:00:00,Seattle,Brussels,648
2025-06-26T06:00:00,Seattle,Brussels,1133
2025-06-26T18:00:00,Seattle,Brussels,705
2025-06-27T06:00:00,Seattle,Brussels,1022
2025-06-27T18:00:00,Seattle,Brussels,856
2025-06-28T06:00:00,Seattle,Brussels,787
2025-06-28T18:00:00,Seattle,Brussels,744
2025-06-29T06:00:00,Seattle,Brussels,1017
2025-06-29T18:00:00,Seattle,Brussels,1054
2025-04-01T06:00:00,Seattle,Amsterdam,1004
2025-04-01T18:00:00,Seattle,Amsterdam,742
2025-04-02T06:00:00,Seattle,Amsterdam,925
2025-04-02T18:00:00,Seattle,Amsterdam,1008
2025-04-03T06:00:00,Seattle,Amsterdam,1214
2025-04-03T18:00:00,Seattle,Amsterdam,766
2025-04-04T06:00:00,Seattle,Amsterdam,745
2025-04-04T18:00:00,Seattle,Amsterdam,890
2025-04-05T06:00:00,Seattle,Amsterdam,912
2025-04-05T18:00:00,Seattle,Amsterdam,648
2025-04-06T06:00:00,Seattle,Amsterdam,815
2025-04-06T18:00:00,Seattle,Amsterdam,801
2025-04-07T06:00:00,Seattle,Amsterdam,1054
2025-04-07T18:00:00,Seattle,Amsterdam,759
2025-04-08T06:00:00,Seattle,Amsterdam,1106
2025-04-08T18:00:00,Seattle,Amsterdam,663
2025-04-09T06:00:00,Seattle,Amsterdam,995
2025-04-09T18:00:00,Seattle,Amsterdam,800
2025-04-10T06:00:00,Seattle,Amsterdam,632
2025-04-10T18:00:00,Seattle,Amsterdam,839
2025-04-11T06:00:00,Seattle,Amsterdam,625
2025-04-11T18:00:00,Seattle,Amsterdam,1086
2025-04-12T06:00:00,Seattle,Amsterdam,887
2025-04-12T18:00:00,Seattle,Amsterdam,911
2025-04-13T06:00:00,Seattle,Amsterdam,732
2025-04-13T18:00:00,Seattle,Amsterdam,611
2025-04-14T06:00:00,Seattle,Amsterdam,1213
2025-04-14T18:00:00,Seattle,Amsterdam,1079
2025-04-15T06:00:00,Seattle,Amsterdam,1053
2025-04-15T18:00:00,Seattle,Amsterdam,617
2025-04-16T06:00:00,Seattle,Amsterdam,808
2025-04-16T18:00:00,Seattle,Amsterdam,923
2025-04-17T06:00:00,Seattle,Amsterdam,973
2025-04-17T18:00:00,Seattle,Amsterdam,705
2025-04-18T06:00:00,Seattle,Amsterdam,1196
2025-04-18T18:00:00,Seattle,Amsterdam,906
2025-04-19T06:00:00,Seattle,Amsterdam,1196
